genus priorDist priorVDist  minDist maxDist minDiam maxDiam maxF 
abies        20  5  5 25 5  30  1e+8
acer         17  5   8 25 7  60  1e+7
ailanthus    17  5   8 25 5  10  1e+9
amelanchier   6  14  5  15  5  10  1e+5
betula       25  10   10 35  15  40  1e+9
carpinus      8  5  2  15  5  10  1e+5
carya         8  2  5  18  20  60  1e+6
celtis       10  15   5 35  15  40  1e+6
cercis        6  5  2  20  8  14  1e+5
chionanthus   1  15  4  15  8  15  1e+5
cornus        7  20  2  20  5  10  1e+5
fagus         9  5  4  20  20  60  1e+7
fraxinus     18  5   8 25  15  60  1e+8
ilex          8  15  12  15 8  15  1e+5
juniperus     6  5  12  20 8  20  1e+8
liquidambar  15  10   8 25  15  40  1e+8
liriodendron 24  10   8 35  15  50  1e+8
magnolia      6  15  2  20  15  60  1e+5
morus         1  4   2  15  15  20  1e+4
nyssa         6  15  3  20  20  60  1e+6
ostrya        6  15  2  20 5  10  1e+5
oxydendron    6  10  4  20  15  40  1e+8
picea        15   8   5 25 5  30  1e+8
pinus        25  5   16 33 12  40  1e+8
prunus        6  12  4  25  15  50  1e+8
quercus        6  12  4  15  20  60  1e+7
robinia       6  12  4  20  15  30  1e+7
sassafras     6  12  4  20  20  40  1e+7
sorbus        6  12  5  15 4  30  1e+5
tilia         6  10  5  25  20  50  1e+8
tsuga        10  10  8  25  20  40  1e+8
ulmus        20  10   8 35  15  50 1e+8
