genus code6	code4 codeUSDA priorDist priorVDist minDist maxDist minDiam maxDiam maxFec 
default      NA NA  NA  20  50 10  35 10  40  1e+7
abies        NA NA  NA  20  20 12  30 10  30  1e+5
acer         NA NA  NA  17  20  8  25  7  30  1e+5
ailanthus    NA NA  NA  17  30  8  25  5  10  1e+6
amelanchier  NA NA  NA   6  30  5  15  5  10  1e+4
betula       NA NA  NA  25  30 10  35 15  40  8e+6
carpinus     NA NA  NA   8  30  2  15  5  10  1e+4
carya        NA NA  NA   8  30  5  18 20  50  5e+4
celtis       NA NA  NA  10  30  5  35 15  40  5e+5
cercis       NA NA  NA   6  30  2  20  8  14  1e+4
chionanthus  NA NA  NA   5  30  4  15  8  15  1e+4
cornus       NA NA  NA   7   8  2  20  5  10  1e+4
fagus        NA NA  NA   9  30  6  18 20  60  1e+5
fraxinus     NA NA  NA  18  30  8  25 15  45  1e+5
ilex         NA NA  NA   8  30 12  15  8  15  1e+4
juglans      NA NA  NA   6   5 12  20 20  60  1e+5
juniperus    NA NA  NA   6  30 12  20  8  20  1e+5
liquidambar  NA NA  NA  15  30  8  25 15  40  1e+5
liriodendron NA NA  NA  24  30  8  35 15  50  5e+5
magnolia     NA NA  NA   6   5  2  20 15  60  1e+5
morus        NA NA  NA   3  10  2  15 15  20  1e+4
nyssa        NA NA  NA   6  30  3  20 20  60  1e+5
ostrya       NA NA  NA   6  20  2  20  5  10  1e+4
oxydendrum   NA NA  NA   6  20  4  20 15  40  1e+6
picea        NA NA  NA  15  30  5  25  5  30  3e+6
pinus        NA NA  NA  20  30 18  33 14  40  1e+6
platanus     NA NA  NA  30  30 20  60 15  50  1e+6
prunus       NA NA  NA   6  30  4  25 15  50  1e+5
pseudotsuga  NA NA  NA  25  10 20  30 20  40  6e+6
quercus      NA NA  NA   6   4  5  13 20  60  1e+5
robinia      NA NA  NA   6  20  4  20 15  30  1e+5
sassafras    NA NA  NA   6  20  4  20 20  40  1e+5
sequoia      NA NA  NA  15  20  8  20 50  80  6e+6
sorbus       NA NA  NA   6  12  5  15  4  15  5e+4
thuja        NA NA  NA  15  30  4  35 20  50  5e+5
tilia        NA NA  NA   8  30  5  25 20  35  1e+5
tsuga        NA NA  NA  10  30  8  25 20  40  1e+6
ulmus        NA NA  NA  20  30 10  35 15  35  1e+5
abies        abiesConcol  abieConc  ABCO  30  30  15  55  20  50  8e+4
abies        abiesLasioc  abieLasi  ABLA  30  30  15  55  20  50  8e+4
abies        abiesMagnif  abieMagn  ABMA  30  30  15  55  20  50  1e+5
acer         acerPensyl   acerPens  NA     3   5   1   8   2  10  5e+2
acer         acerRubrum   acerRubr  NA    17  30   8  25   7  60  1e+5
acer         acerSacchn   acerSacn  NA    17  30   8  25   7  60  1e+5
acer         acerSaccha   acerSacc  NA    17  30   8  25   7  60  1e+5
acer         acerSpicat   acerSpic  NA     4   5   2   8   2  12  5e+2
betula       betulaNeoala betuNeoa  BENE4 12  10   8  20   8  20  1e+6
calocedrus   caloceDecurr caloDecu  CADE  20  40  10  50  30  70  1e+6
callitropsis callitnootka callnoot  CANO9 25  20  13  35  20  50  5e+5
picea        piceaEngelm  piceEnge  PIEN  25  30  20  35  15  40  2e+6
picea        piceaSitche  piceSitc  PIST  25  30  20  35  15  40  2e+6
pinus        pinusBanksi  pinuBank  PIBA2 20  30  10  25   8  25  1e+6
pinus        pinusContor  pinuCont  PICO  25  30  18  40   8  25  8e+4
pinus        pinusEchina  pinuEchi  PIEC  20  30  15  30  15  40  3e+5
pinus        pinusFlexil  pinuFlex  PIFE2 22  10  16  30  20  35  5e+4
pinus        pinusJeffre  pinuJeff  PIJE  35  50  16  50  30  40  1e+5
pinus        pinusLamber  pinuLamb  PILA  25  50  16  50  30  40  1e+5
pinus        pinusMonoph  pinuMono  PIMO  25  50  16  33  20  40  5e+5
pinus        pinusPonder  pinuPond  PIPO  25  40  16  30  12  40  5e+4
pinus        pinusResino  pinuResi  PIRE  20  30  15  30  18  40  5e+4
pinus        pinusRigida  pinuRigi  PIRI  20  30  15  30  18  40  5e+4
pinus        pinusStrobu  pinuStro  PIST  20  30  15  30  18  40  8e+4
pinus        pinusTaeda   pinuTaed  PITA  20  30  15  30  15  40  1e+5
pinus        pinusVirgin  pinuVirg  PIVI2 18  30  10  28   8  25  7e+5
pseudotsuga  pseudoMenzie pseuMenz  PSME  25  10  20  30  20  40  6e+6
quercus      quercuAgrifo querAgri  QUAG   8   5   2  10   5  15  1e+5
quercus      quercuMargar querMarg  QUMA13 8   5   2  10   5  15  2e+5
quercus      quercuChryso querChry  QUCH2  8   5   2  10   5  15  2e+5
quercus      quercuKellog querKell  QUKE   8   5   2  10   5  15  1e+5
quercus      quercuParvul querParv  QUPA8  8   5   2  10   5  15  1e+5
sequoia      sequoiSempir sequSemp  SESE3 15  20   8  20  50  80  6e+6
thuja        thujaOccide  thujOcci  THOC2 15  10   5  25  20  50  5e+5
thuja        thujaPlicat  thujPlic  THPL  25  20  13  35  20  50  5e+5
tsuga        tsugaHetero  tsugHete  TSHE  30  30  20  40  20  50  5e+6
tsuga        tsugaMerten  tsugMert  TSME  30  30  20  40  20  50  5e+6
